task_id	task_type	root_id	root_kind	family	tau	fit_axis	fit_size	prior	model	execution_plan	slot_cost	threads_per_process	pipeline_script	run_root	root_postprocess_task_id	root_review_task_id	priority_band	priority_reason
mp__root__dynamic__gausmix__tau_0p95__lasttt_5000__exdqlm	model_path	root__dynamic__gausmix__tau_0p95__lasttt_5000	dynamic	gausmix	0.95	lastTT	5000	default	exdqlm	vb_then_mcmc	1	1	tools/merge_reports/20260305_vb_then_mcmc_pipeline.R	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000	post__root__dynamic__gausmix__tau_0p95__lasttt_5000	review__root__dynamic__gausmix__tau_0p95__lasttt_5000	1	longest dynamic roots first
mp__root__dynamic__laplace__tau_0p05__lasttt_500__dqlm	model_path	root__dynamic__laplace__tau_0p05__lasttt_500	dynamic	laplace	0.05	lastTT	500	default	dqlm	vb_then_mcmc	1	1	tools/merge_reports/20260305_vb_then_mcmc_pipeline.R	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500	post__root__dynamic__laplace__tau_0p05__lasttt_500	review__root__dynamic__laplace__tau_0p05__lasttt_500	2	second-wave dynamic roots
mp__root__dynamic__laplace__tau_0p05__lasttt_500__exdqlm	model_path	root__dynamic__laplace__tau_0p05__lasttt_500	dynamic	laplace	0.05	lastTT	500	default	exdqlm	vb_then_mcmc	1	1	tools/merge_reports/20260305_vb_then_mcmc_pipeline.R	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500	post__root__dynamic__laplace__tau_0p05__lasttt_500	review__root__dynamic__laplace__tau_0p05__lasttt_500	2	second-wave dynamic roots
mp__root__dynamic__laplace__tau_0p05__lasttt_5000__dqlm	model_path	root__dynamic__laplace__tau_0p05__lasttt_5000	dynamic	laplace	0.05	lastTT	5000	default	dqlm	vb_then_mcmc	1	1	tools/merge_reports/20260305_vb_then_mcmc_pipeline.R	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000	post__root__dynamic__laplace__tau_0p05__lasttt_5000	review__root__dynamic__laplace__tau_0p05__lasttt_5000	1	longest dynamic roots first
mp__root__dynamic__laplace__tau_0p05__lasttt_5000__exdqlm	model_path	root__dynamic__laplace__tau_0p05__lasttt_5000	dynamic	laplace	0.05	lastTT	5000	default	exdqlm	vb_then_mcmc	1	1	tools/merge_reports/20260305_vb_then_mcmc_pipeline.R	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000	post__root__dynamic__laplace__tau_0p05__lasttt_5000	review__root__dynamic__laplace__tau_0p05__lasttt_5000	1	longest dynamic roots first
mp__root__dynamic__laplace__tau_0p25__lasttt_500__dqlm	model_path	root__dynamic__laplace__tau_0p25__lasttt_500	dynamic	laplace	0.25	lastTT	500	default	dqlm	vb_then_mcmc	1	1	tools/merge_reports/20260305_vb_then_mcmc_pipeline.R	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500	post__root__dynamic__laplace__tau_0p25__lasttt_500	review__root__dynamic__laplace__tau_0p25__lasttt_500	2	second-wave dynamic roots
mp__root__dynamic__laplace__tau_0p25__lasttt_500__exdqlm	model_path	root__dynamic__laplace__tau_0p25__lasttt_500	dynamic	laplace	0.25	lastTT	500	default	exdqlm	vb_then_mcmc	1	1	tools/merge_reports/20260305_vb_then_mcmc_pipeline.R	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500	post__root__dynamic__laplace__tau_0p25__lasttt_500	review__root__dynamic__laplace__tau_0p25__lasttt_500	2	second-wave dynamic roots
mp__root__dynamic__laplace__tau_0p25__lasttt_5000__dqlm	model_path	root__dynamic__laplace__tau_0p25__lasttt_5000	dynamic	laplace	0.25	lastTT	5000	default	dqlm	vb_then_mcmc	1	1	tools/merge_reports/20260305_vb_then_mcmc_pipeline.R	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000	post__root__dynamic__laplace__tau_0p25__lasttt_5000	review__root__dynamic__laplace__tau_0p25__lasttt_5000	1	longest dynamic roots first
mp__root__dynamic__laplace__tau_0p25__lasttt_5000__exdqlm	model_path	root__dynamic__laplace__tau_0p25__lasttt_5000	dynamic	laplace	0.25	lastTT	5000	default	exdqlm	vb_then_mcmc	1	1	tools/merge_reports/20260305_vb_then_mcmc_pipeline.R	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000	post__root__dynamic__laplace__tau_0p25__lasttt_5000	review__root__dynamic__laplace__tau_0p25__lasttt_5000	1	longest dynamic roots first
mp__root__dynamic__laplace__tau_0p95__lasttt_500__dqlm	model_path	root__dynamic__laplace__tau_0p95__lasttt_500	dynamic	laplace	0.95	lastTT	500	default	dqlm	vb_then_mcmc	1	1	tools/merge_reports/20260305_vb_then_mcmc_pipeline.R	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500	post__root__dynamic__laplace__tau_0p95__lasttt_500	review__root__dynamic__laplace__tau_0p95__lasttt_500	2	second-wave dynamic roots
mp__root__dynamic__laplace__tau_0p95__lasttt_500__exdqlm	model_path	root__dynamic__laplace__tau_0p95__lasttt_500	dynamic	laplace	0.95	lastTT	500	default	exdqlm	vb_then_mcmc	1	1	tools/merge_reports/20260305_vb_then_mcmc_pipeline.R	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500	post__root__dynamic__laplace__tau_0p95__lasttt_500	review__root__dynamic__laplace__tau_0p95__lasttt_500	2	second-wave dynamic roots
mp__root__dynamic__laplace__tau_0p95__lasttt_5000__dqlm	model_path	root__dynamic__laplace__tau_0p95__lasttt_5000	dynamic	laplace	0.95	lastTT	5000	default	dqlm	vb_then_mcmc	1	1	tools/merge_reports/20260305_vb_then_mcmc_pipeline.R	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000	post__root__dynamic__laplace__tau_0p95__lasttt_5000	review__root__dynamic__laplace__tau_0p95__lasttt_5000	1	longest dynamic roots first
mp__root__dynamic__laplace__tau_0p95__lasttt_5000__exdqlm	model_path	root__dynamic__laplace__tau_0p95__lasttt_5000	dynamic	laplace	0.95	lastTT	5000	default	exdqlm	vb_then_mcmc	1	1	tools/merge_reports/20260305_vb_then_mcmc_pipeline.R	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000	post__root__dynamic__laplace__tau_0p95__lasttt_5000	review__root__dynamic__laplace__tau_0p95__lasttt_5000	1	longest dynamic roots first
mp__root__dynamic__normal__tau_0p05__lasttt_500__dqlm	model_path	root__dynamic__normal__tau_0p05__lasttt_500	dynamic	normal	0.05	lastTT	500	default	dqlm	vb_then_mcmc	1	1	tools/merge_reports/20260305_vb_then_mcmc_pipeline.R	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500	post__root__dynamic__normal__tau_0p05__lasttt_500	review__root__dynamic__normal__tau_0p05__lasttt_500	2	second-wave dynamic roots
mp__root__dynamic__normal__tau_0p05__lasttt_500__exdqlm	model_path	root__dynamic__normal__tau_0p05__lasttt_500	dynamic	normal	0.05	lastTT	500	default	exdqlm	vb_then_mcmc	1	1	tools/merge_reports/20260305_vb_then_mcmc_pipeline.R	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500	post__root__dynamic__normal__tau_0p05__lasttt_500	review__root__dynamic__normal__tau_0p05__lasttt_500	2	second-wave dynamic roots
mp__root__dynamic__normal__tau_0p05__lasttt_5000__dqlm	model_path	root__dynamic__normal__tau_0p05__lasttt_5000	dynamic	normal	0.05	lastTT	5000	default	dqlm	vb_then_mcmc	1	1	tools/merge_reports/20260305_vb_then_mcmc_pipeline.R	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000	post__root__dynamic__normal__tau_0p05__lasttt_5000	review__root__dynamic__normal__tau_0p05__lasttt_5000	1	longest dynamic roots first
mp__root__dynamic__normal__tau_0p05__lasttt_5000__exdqlm	model_path	root__dynamic__normal__tau_0p05__lasttt_5000	dynamic	normal	0.05	lastTT	5000	default	exdqlm	vb_then_mcmc	1	1	tools/merge_reports/20260305_vb_then_mcmc_pipeline.R	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000	post__root__dynamic__normal__tau_0p05__lasttt_5000	review__root__dynamic__normal__tau_0p05__lasttt_5000	1	longest dynamic roots first
mp__root__dynamic__normal__tau_0p25__lasttt_500__dqlm	model_path	root__dynamic__normal__tau_0p25__lasttt_500	dynamic	normal	0.25	lastTT	500	default	dqlm	vb_then_mcmc	1	1	tools/merge_reports/20260305_vb_then_mcmc_pipeline.R	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500	post__root__dynamic__normal__tau_0p25__lasttt_500	review__root__dynamic__normal__tau_0p25__lasttt_500	2	second-wave dynamic roots
mp__root__dynamic__normal__tau_0p25__lasttt_500__exdqlm	model_path	root__dynamic__normal__tau_0p25__lasttt_500	dynamic	normal	0.25	lastTT	500	default	exdqlm	vb_then_mcmc	1	1	tools/merge_reports/20260305_vb_then_mcmc_pipeline.R	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500	post__root__dynamic__normal__tau_0p25__lasttt_500	review__root__dynamic__normal__tau_0p25__lasttt_500	2	second-wave dynamic roots
mp__root__dynamic__normal__tau_0p25__lasttt_5000__dqlm	model_path	root__dynamic__normal__tau_0p25__lasttt_5000	dynamic	normal	0.25	lastTT	5000	default	dqlm	vb_then_mcmc	1	1	tools/merge_reports/20260305_vb_then_mcmc_pipeline.R	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000	post__root__dynamic__normal__tau_0p25__lasttt_5000	review__root__dynamic__normal__tau_0p25__lasttt_5000	1	longest dynamic roots first
