"row_id","family","tt","tau","candidate_id","jump","scale","n_obs","pass_n","warn_n","fail_n","best_gate"
174,"gausmix",1000,"0p25","F0875_sub2_s100",0.0875,1,1,0,0,1,"FAIL"
174,"gausmix",1000,"0p25","F0875_sub2_s1025",0.0875,1.025,1,0,0,1,"FAIL"
174,"gausmix",1000,"0p25","F080_sub2_s0975",0.08,0.975,2,0,0,2,"FAIL"
174,"gausmix",1000,"0p25","F0825_sub2_s105",0.0825,1.05,2,0,0,2,"FAIL"
174,"gausmix",1000,"0p25","F0835_sub2_s100",0.0835,1,2,0,0,2,"FAIL"
174,"gausmix",1000,"0p25","F0845_sub2_s1025",0.0845,1.025,2,0,0,2,"FAIL"
174,"gausmix",1000,"0p25","F0825_sub2_s1025",0.0825,1.025,3,0,0,3,"FAIL"
174,"gausmix",1000,"0p25","F085_sub2_s100",0.085,1,3,0,0,3,"FAIL"
174,"gausmix",1000,"0p25","F085_sub2_s1025",0.085,1.025,3,0,0,3,"FAIL"
181,"gausmix",100,"0p95","F0825_sub2_s100",0.0825,1,5,1,4,0,"PASS"
181,"gausmix",100,"0p95","F0835_sub2_s1025",0.0835,1.025,3,1,2,0,"PASS"
181,"gausmix",100,"0p95","F085_sub2_s100",0.085,1,4,1,2,1,"PASS"
181,"gausmix",100,"0p95","F0825_sub2_s1025",0.0825,1.025,2,1,1,0,"PASS"
181,"gausmix",100,"0p95","F0845_sub2_s1025",0.0845,1.025,2,1,1,0,"PASS"
181,"gausmix",100,"0p95","F075_sub2_s105",0.075,1.05,1,1,0,0,"PASS"
181,"gausmix",100,"0p95","F080_sub2_s0975",0.08,0.975,1,1,0,0,"PASS"
181,"gausmix",100,"0p95","F085_sub2_s095",0.085,0.95,1,1,0,0,"PASS"
181,"gausmix",100,"0p95","F0845_sub2_s100",0.0845,1,2,0,2,0,"WARN"
181,"gausmix",100,"0p95","F0825_sub2_s105",0.0825,1.05,1,0,1,0,"WARN"
181,"gausmix",100,"0p95","F085_sub2_s105",0.085,1.05,1,0,1,0,"WARN"
181,"gausmix",100,"0p95","F085_sub2_s1025",0.085,1.025,2,0,1,1,"WARN"
181,"gausmix",100,"0p95","F080_sub2_s100_ref",0.08,1,1,0,0,1,"FAIL"
181,"gausmix",100,"0p95","F0835_sub2_s100",0.0835,1,2,0,0,2,"FAIL"
190,"gausmix",1000,"0p95","F0825_sub2_s1025",0.0825,1.025,2,1,1,0,"PASS"
190,"gausmix",1000,"0p95","F085_sub2_s1025",0.085,1.025,3,1,0,2,"PASS"
190,"gausmix",1000,"0p95","F0825_sub2_s100",0.0825,1,5,0,5,0,"WARN"
190,"gausmix",1000,"0p95","F0835_sub2_s1025",0.0835,1.025,3,0,3,0,"WARN"
190,"gausmix",1000,"0p95","F0845_sub2_s1025",0.0845,1.025,2,0,2,0,"WARN"
190,"gausmix",1000,"0p95","F080_sub2_s0975",0.08,0.975,1,0,1,0,"WARN"
190,"gausmix",1000,"0p95","F080_sub2_s100_ref",0.08,1,1,0,1,0,"WARN"
190,"gausmix",1000,"0p95","F085_sub2_s105",0.085,1.05,1,0,1,0,"WARN"
190,"gausmix",1000,"0p95","F0845_sub2_s100",0.0845,1,2,0,1,1,"WARN"
190,"gausmix",1000,"0p95","F075_sub2_s105",0.075,1.05,1,0,0,1,"FAIL"
190,"gausmix",1000,"0p95","F0825_sub2_s105",0.0825,1.05,1,0,0,1,"FAIL"
190,"gausmix",1000,"0p95","F085_sub2_s095",0.085,0.95,1,0,0,1,"FAIL"
190,"gausmix",1000,"0p95","F0835_sub2_s100",0.0835,1,2,0,0,2,"FAIL"
190,"gausmix",1000,"0p95","F085_sub2_s100",0.085,1,3,0,0,3,"FAIL"
206,"laplace",1000,"0p05","F0825_sub2_s100",0.0825,1,5,1,3,1,"PASS"
206,"laplace",1000,"0p05","F0825_sub2_s1025",0.0825,1.025,3,1,1,1,"PASS"
206,"laplace",1000,"0p05","F085_sub2_s1025",0.085,1.025,3,1,1,1,"PASS"
206,"laplace",1000,"0p05","F0835_sub2_s1025",0.0835,1.025,4,1,1,2,"PASS"
206,"laplace",1000,"0p05","F0875_sub2_s100",0.0875,1,1,1,0,0,"PASS"
206,"laplace",1000,"0p05","F0825_sub2_s105",0.0825,1.05,2,1,0,1,"PASS"
206,"laplace",1000,"0p05","F085_sub2_s105",0.085,1.05,2,1,0,1,"PASS"
206,"laplace",1000,"0p05","F0835_sub2_s100",0.0835,1,2,0,2,0,"WARN"
206,"laplace",1000,"0p05","F075_sub2_s105",0.075,1.05,1,0,1,0,"WARN"
206,"laplace",1000,"0p05","F080_sub2_s100_ref",0.08,1,1,0,1,0,"WARN"
206,"laplace",1000,"0p05","F0875_sub2_s1025",0.0875,1.025,1,0,1,0,"WARN"
206,"laplace",1000,"0p05","F0875_sub2_s105",0.0875,1.05,1,0,1,0,"WARN"
206,"laplace",1000,"0p05","F085_sub2_s100",0.085,1,3,0,1,2,"WARN"
206,"laplace",1000,"0p05","F085_sub2_s095",0.085,0.95,1,0,0,1,"FAIL"
206,"laplace",1000,"0p05","F080_sub2_s0975",0.08,0.975,2,0,0,2,"FAIL"
206,"laplace",1000,"0p05","F0845_sub2_s100",0.0845,1,2,0,0,2,"FAIL"
206,"laplace",1000,"0p05","F0845_sub2_s1025",0.0845,1.025,2,0,0,2,"FAIL"
269,"normal",1000,"0p25","F0825_sub2_s100",0.0825,1,5,0,2,3,"WARN"
269,"normal",1000,"0p25","F0845_sub2_s100",0.0845,1,2,0,1,1,"WARN"
269,"normal",1000,"0p25","F0875_sub2_s105",0.0875,1.05,2,0,1,1,"WARN"
269,"normal",1000,"0p25","F0825_sub2_s1025",0.0825,1.025,3,0,1,2,"WARN"
269,"normal",1000,"0p25","F085_sub2_s100",0.085,1,4,0,1,3,"WARN"
269,"normal",1000,"0p25","F075_sub2_s105",0.075,1.05,1,0,0,1,"FAIL"
269,"normal",1000,"0p25","F080_sub2_s0975",0.08,0.975,1,0,0,1,"FAIL"
269,"normal",1000,"0p25","F080_sub2_s100_ref",0.08,1,1,0,0,1,"FAIL"
269,"normal",1000,"0p25","F085_sub2_s095",0.085,0.95,1,0,0,1,"FAIL"
269,"normal",1000,"0p25","F0875_sub2_s100",0.0875,1,1,0,0,1,"FAIL"
269,"normal",1000,"0p25","F0875_sub2_s1025",0.0875,1.025,1,0,0,1,"FAIL"
269,"normal",1000,"0p25","F0825_sub2_s105",0.0825,1.05,2,0,0,2,"FAIL"
269,"normal",1000,"0p25","F0835_sub2_s100",0.0835,1,2,0,0,2,"FAIL"
269,"normal",1000,"0p25","F0845_sub2_s1025",0.0845,1.025,2,0,0,2,"FAIL"
269,"normal",1000,"0p25","F085_sub2_s105",0.085,1.05,2,0,0,2,"FAIL"
269,"normal",1000,"0p25","F0835_sub2_s1025",0.0835,1.025,3,0,0,3,"FAIL"
269,"normal",1000,"0p25","F085_sub2_s1025",0.085,1.025,3,0,0,3,"FAIL"
278,"normal",100,"0p95","F0845_sub2_s1025",0.0845,1.025,3,3,0,0,"PASS"
278,"normal",100,"0p95","F0835_sub2_s1025",0.0835,1.025,3,2,1,0,"PASS"
278,"normal",100,"0p95","F0845_sub2_s100",0.0845,1,2,1,1,0,"PASS"
278,"normal",100,"0p95","F085_sub2_s1025",0.085,1.025,3,1,1,1,"PASS"
278,"normal",100,"0p95","F085_sub2_s105",0.085,1.05,1,1,0,0,"PASS"
278,"normal",100,"0p95","F085_sub2_s100",0.085,1,3,1,0,2,"PASS"
278,"normal",100,"0p95","F0835_sub2_s100",0.0835,1,2,0,2,0,"WARN"
278,"normal",100,"0p95","F0825_sub2_s100",0.0825,1,5,0,2,3,"WARN"
278,"normal",100,"0p95","F080_sub2_s0975",0.08,0.975,1,0,1,0,"WARN"
278,"normal",100,"0p95","F0825_sub2_s105",0.0825,1.05,1,0,1,0,"WARN"
278,"normal",100,"0p95","F0875_sub2_s1025",0.0875,1.025,1,0,1,0,"WARN"
278,"normal",100,"0p95","F0825_sub2_s1025",0.0825,1.025,3,0,1,2,"WARN"
278,"normal",100,"0p95","F075_sub2_s105",0.075,1.05,1,0,0,1,"FAIL"
278,"normal",100,"0p95","F080_sub2_s100_ref",0.08,1,1,0,0,1,"FAIL"
278,"normal",100,"0p95","F085_sub2_s095",0.085,0.95,1,0,0,1,"FAIL"
