root_id	root_kind	family	tau	fit_size	prior	inference	model	failure_bucket	signoff_reason	action_class
root__static_shrink__gausmix__tau_0p25__tt_1000__rhs	static_shrink	gausmix	0.25	1000	rhs	mcmc	exal	hard_only	non_finite_fit	hard_numerical_repair
root__static_shrink__gausmix__tau_0p25__tt_1000__ridge	static_shrink	gausmix	0.25	1000	ridge	vb	exal	mixed	non_finite_fit; missing_elbo_trace; ld_unstable; vb_converged_false; elbo_tail_unstable	mixed_debug_and_resample
root__static_shrink__gausmix__tau_0p25__tt_1000__ridge	static_shrink	gausmix	0.25	1000	ridge	mcmc	exal	soft_only	low_ess; high_autocorrelation; geweke_drift; half_chain_drift	needs_deeper_chain
root__static_shrink__gausmix__tau_0p95__tt_100__rhs	static_shrink	gausmix	0.95	100	rhs	mcmc	exal	soft_only	low_ess; geweke_drift; half_chain_drift	needs_deeper_chain
root__static_shrink__gausmix__tau_0p95__tt_100__ridge	static_shrink	gausmix	0.95	100	ridge	mcmc	exal	soft_only	low_ess; half_chain_drift	aggressive_policy_only_rescue
root__static_shrink__gausmix__tau_0p95__tt_1000__rhs	static_shrink	gausmix	0.95	1000	rhs	mcmc	exal	soft_only	half_chain_drift	aggressive_policy_only_rescue
root__static_shrink__gausmix__tau_0p95__tt_1000__ridge	static_shrink	gausmix	0.95	1000	ridge	mcmc	exal	soft_only	low_ess	threshold_only_rescue_moderate
root__static_shrink__laplace__tau_0p05__tt_100__rhs	static_shrink	laplace	0.05	100	rhs	mcmc	exal	soft_only	half_chain_drift	threshold_only_rescue_moderate
root__static_shrink__laplace__tau_0p25__tt_100__rhs	static_shrink	laplace	0.25	100	rhs	vb	exal	mixed	non_finite_fit; missing_elbo_trace; ld_unstable; vb_converged_false; elbo_tail_unstable	mixed_debug_and_resample
root__static_shrink__laplace__tau_0p25__tt_100__rhs	static_shrink	laplace	0.25	100	rhs	mcmc	exal	hard_only	non_finite_fit	hard_numerical_repair
root__static_shrink__laplace__tau_0p25__tt_100__ridge	static_shrink	laplace	0.25	100	ridge	vb	exal	mixed	non_finite_fit; missing_elbo_trace; ld_unstable; vb_converged_false; elbo_tail_unstable	mixed_debug_and_resample
root__static_shrink__laplace__tau_0p25__tt_1000__rhs	static_shrink	laplace	0.25	1000	rhs	vb	exal	mixed	non_finite_fit; missing_elbo_trace; ld_unstable; vb_converged_false; elbo_tail_unstable	mixed_debug_and_resample
root__static_shrink__laplace__tau_0p25__tt_1000__rhs	static_shrink	laplace	0.25	1000	rhs	mcmc	exal	mixed	non_finite_fit; low_ess; high_autocorrelation; half_chain_drift	mixed_debug_and_resample
root__static_shrink__laplace__tau_0p25__tt_1000__ridge	static_shrink	laplace	0.25	1000	ridge	vb	exal	mixed	non_finite_fit; missing_elbo_trace; ld_unstable; vb_converged_false; elbo_tail_unstable	mixed_debug_and_resample
root__static_shrink__laplace__tau_0p25__tt_1000__ridge	static_shrink	laplace	0.25	1000	ridge	mcmc	exal	soft_only	low_ess; half_chain_drift	aggressive_policy_only_rescue
root__static_shrink__laplace__tau_0p95__tt_100__rhs	static_shrink	laplace	0.95	100	rhs	mcmc	exal	soft_only	low_ess; half_chain_drift	aggressive_policy_only_rescue
root__static_shrink__laplace__tau_0p95__tt_100__ridge	static_shrink	laplace	0.95	100	ridge	mcmc	exal	soft_only	low_ess	threshold_only_rescue_moderate
root__static_shrink__laplace__tau_0p95__tt_1000__rhs	static_shrink	laplace	0.95	1000	rhs	mcmc	exal	soft_only	low_ess; high_autocorrelation; half_chain_drift	needs_deeper_chain
root__static_shrink__normal__tau_0p05__tt_100__ridge	static_shrink	normal	0.05	100	ridge	mcmc	exal	soft_only	low_ess; geweke_drift; half_chain_drift	aggressive_policy_only_rescue
root__static_shrink__normal__tau_0p05__tt_1000__rhs	static_shrink	normal	0.05	1000	rhs	mcmc	exal	soft_only	low_ess; high_autocorrelation; half_chain_drift	aggressive_policy_only_rescue
root__static_shrink__normal__tau_0p05__tt_1000__ridge	static_shrink	normal	0.05	1000	ridge	mcmc	exal	soft_only	low_ess; high_autocorrelation; geweke_drift; half_chain_drift	needs_deeper_chain
root__static_shrink__normal__tau_0p25__tt_100__rhs	static_shrink	normal	0.25	100	rhs	vb	exal	mixed	non_finite_fit; missing_elbo_trace; ld_unstable; vb_converged_false; elbo_tail_unstable	mixed_debug_and_resample
root__static_shrink__normal__tau_0p25__tt_100__rhs	static_shrink	normal	0.25	100	rhs	mcmc	exal	hard_only	non_finite_fit	hard_numerical_repair
root__static_shrink__normal__tau_0p25__tt_100__ridge	static_shrink	normal	0.25	100	ridge	vb	exal	mixed	non_finite_fit; missing_elbo_trace; ld_unstable; vb_converged_false; elbo_tail_unstable	mixed_debug_and_resample
root__static_shrink__normal__tau_0p25__tt_1000__rhs	static_shrink	normal	0.25	1000	rhs	vb	exal	mixed	non_finite_fit; missing_elbo_trace; ld_unstable; vb_converged_false; elbo_tail_unstable	mixed_debug_and_resample
root__static_shrink__normal__tau_0p25__tt_1000__rhs	static_shrink	normal	0.25	1000	rhs	mcmc	exal	mixed	non_finite_fit; low_ess; high_autocorrelation; geweke_drift; half_chain_drift	mixed_debug_and_resample
root__static_shrink__normal__tau_0p25__tt_1000__ridge	static_shrink	normal	0.25	1000	ridge	vb	exal	mixed	non_finite_fit; missing_elbo_trace; ld_unstable; vb_converged_false; elbo_tail_unstable	mixed_debug_and_resample
root__static_shrink__normal__tau_0p25__tt_1000__ridge	static_shrink	normal	0.25	1000	ridge	mcmc	exal	soft_only	low_ess; high_autocorrelation; geweke_drift; half_chain_drift	needs_deeper_chain
root__static_shrink__normal__tau_0p95__tt_100__rhs	static_shrink	normal	0.95	100	rhs	mcmc	exal	soft_only	low_ess	threshold_only_rescue_moderate
root__static_shrink__normal__tau_0p95__tt_100__ridge	static_shrink	normal	0.95	100	ridge	mcmc	exal	soft_only	low_ess	threshold_only_rescue_moderate
root__static_shrink__normal__tau_0p95__tt_1000__rhs	static_shrink	normal	0.95	1000	rhs	mcmc	exal	soft_only	low_ess; high_autocorrelation; half_chain_drift	aggressive_policy_only_rescue
root__static_shrink__normal__tau_0p95__tt_1000__ridge	static_shrink	normal	0.95	1000	ridge	mcmc	exal	soft_only	low_ess; high_autocorrelation; geweke_drift; half_chain_drift	needs_deeper_chain
