task_id	task_type	root_id	root_kind	family	tau	fit_axis	fit_size	prior	slot_cost	threads_per_process	trigger_rule	postprocess_script	review_task_id
post__root__static_shrink__laplace__tau_0p25__tt_1000__ridge	root_postprocess	root__static_shrink__laplace__tau_0p25__tt_1000__ridge	static_shrink	laplace	0.25	TT	1000	ridge	1	1	both_model_paths_done	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R	review__root__static_shrink__laplace__tau_0p25__tt_1000__ridge
post__root__static_shrink__laplace__tau_0p95__tt_100__rhs	root_postprocess	root__static_shrink__laplace__tau_0p95__tt_100__rhs	static_shrink	laplace	0.95	TT	100	rhs	1	1	both_model_paths_done	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R	review__root__static_shrink__laplace__tau_0p95__tt_100__rhs
post__root__static_shrink__laplace__tau_0p95__tt_100__ridge	root_postprocess	root__static_shrink__laplace__tau_0p95__tt_100__ridge	static_shrink	laplace	0.95	TT	100	ridge	1	1	both_model_paths_done	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R	review__root__static_shrink__laplace__tau_0p95__tt_100__ridge
post__root__static_shrink__laplace__tau_0p95__tt_1000__rhs	root_postprocess	root__static_shrink__laplace__tau_0p95__tt_1000__rhs	static_shrink	laplace	0.95	TT	1000	rhs	1	1	both_model_paths_done	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R	review__root__static_shrink__laplace__tau_0p95__tt_1000__rhs
post__root__static_shrink__laplace__tau_0p95__tt_1000__ridge	root_postprocess	root__static_shrink__laplace__tau_0p95__tt_1000__ridge	static_shrink	laplace	0.95	TT	1000	ridge	1	1	both_model_paths_done	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R	review__root__static_shrink__laplace__tau_0p95__tt_1000__ridge
post__root__static_shrink__normal__tau_0p05__tt_100__rhs	root_postprocess	root__static_shrink__normal__tau_0p05__tt_100__rhs	static_shrink	normal	0.05	TT	100	rhs	1	1	both_model_paths_done	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R	review__root__static_shrink__normal__tau_0p05__tt_100__rhs
post__root__static_shrink__normal__tau_0p05__tt_100__ridge	root_postprocess	root__static_shrink__normal__tau_0p05__tt_100__ridge	static_shrink	normal	0.05	TT	100	ridge	1	1	both_model_paths_done	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R	review__root__static_shrink__normal__tau_0p05__tt_100__ridge
post__root__static_shrink__normal__tau_0p05__tt_1000__rhs	root_postprocess	root__static_shrink__normal__tau_0p05__tt_1000__rhs	static_shrink	normal	0.05	TT	1000	rhs	1	1	both_model_paths_done	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R	review__root__static_shrink__normal__tau_0p05__tt_1000__rhs
post__root__static_shrink__normal__tau_0p05__tt_1000__ridge	root_postprocess	root__static_shrink__normal__tau_0p05__tt_1000__ridge	static_shrink	normal	0.05	TT	1000	ridge	1	1	both_model_paths_done	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R	review__root__static_shrink__normal__tau_0p05__tt_1000__ridge
post__root__static_shrink__normal__tau_0p25__tt_100__rhs	root_postprocess	root__static_shrink__normal__tau_0p25__tt_100__rhs	static_shrink	normal	0.25	TT	100	rhs	1	1	both_model_paths_done	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R	review__root__static_shrink__normal__tau_0p25__tt_100__rhs
post__root__static_shrink__normal__tau_0p25__tt_100__ridge	root_postprocess	root__static_shrink__normal__tau_0p25__tt_100__ridge	static_shrink	normal	0.25	TT	100	ridge	1	1	both_model_paths_done	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R	review__root__static_shrink__normal__tau_0p25__tt_100__ridge
post__root__static_shrink__normal__tau_0p25__tt_1000__rhs	root_postprocess	root__static_shrink__normal__tau_0p25__tt_1000__rhs	static_shrink	normal	0.25	TT	1000	rhs	1	1	both_model_paths_done	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R	review__root__static_shrink__normal__tau_0p25__tt_1000__rhs
post__root__static_shrink__normal__tau_0p25__tt_1000__ridge	root_postprocess	root__static_shrink__normal__tau_0p25__tt_1000__ridge	static_shrink	normal	0.25	TT	1000	ridge	1	1	both_model_paths_done	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R	review__root__static_shrink__normal__tau_0p25__tt_1000__ridge
post__root__static_shrink__normal__tau_0p95__tt_100__rhs	root_postprocess	root__static_shrink__normal__tau_0p95__tt_100__rhs	static_shrink	normal	0.95	TT	100	rhs	1	1	both_model_paths_done	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R	review__root__static_shrink__normal__tau_0p95__tt_100__rhs
post__root__static_shrink__normal__tau_0p95__tt_100__ridge	root_postprocess	root__static_shrink__normal__tau_0p95__tt_100__ridge	static_shrink	normal	0.95	TT	100	ridge	1	1	both_model_paths_done	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R	review__root__static_shrink__normal__tau_0p95__tt_100__ridge
post__root__static_shrink__normal__tau_0p95__tt_1000__rhs	root_postprocess	root__static_shrink__normal__tau_0p95__tt_1000__rhs	static_shrink	normal	0.95	TT	1000	rhs	1	1	both_model_paths_done	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R	review__root__static_shrink__normal__tau_0p95__tt_1000__rhs
post__root__static_shrink__normal__tau_0p95__tt_1000__ridge	root_postprocess	root__static_shrink__normal__tau_0p95__tt_1000__ridge	static_shrink	normal	0.95	TT	1000	ridge	1	1	both_model_paths_done	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R	review__root__static_shrink__normal__tau_0p95__tt_1000__ridge
